player_id,player_url,fifa_version,fifa_update,fifa_update_date,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,league_id,league_name,league_level,club_team_id,club_name,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url
player_id,player_url,fifa_version,fifa_update,fifa_update_date,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,league_id,league_name,league_level,club_team_id,club_name,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url
190061,/player/190061/steven-deana/150001,15,1,2014-08-29,S. Deana,Steven Deana,GK,58,65,130000.0,3000.0,24,1990-03-04,188,83,189.0,Super League,1.0,110770.0,FC Sion,SUB,18.0,,2010-07-01,2019.0,47,Switzerland,,,,Right,2,1,1,Medium/Medium,Lean (185+),No,,,,,,,,,,25,25,25,35,25,25,25,25,31,24,56,51,54,53,46,33,68,44,72,25,22,22,25,25,25,,25,25,25,62,56,56,56,61,53.0,33,33,33,32,31,31,31,32,32,32,32,33,30,30,30,33,31,33,33,33,31,30,33,33,33,30,58,https://cdn.sofifa.net/players/190/061/15_120.png
190179,/player/190179/david-cornell/150001,15,1,2014-08-29,D. Cornell,David Cornell,GK,58,66,120000.0,3000.0,23,1991-03-28,188,79,13.0,Premier League,1.0,1960.0,Swansea City,RES,13.0,,2009-01-01,2015.0,50,Wales,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,,,,,,,,,,25,25,25,31,25,25,25,25,33,22,47,42,56,53,50,25,58,25,65,25,31,26,25,25,40,,25,25,25,57,58,59,55,61,44.0,31,31,31,31,29,29,29,31,30,30,30,31,29,29,29,31,29,32,32,32,29,29,32,32,32,29,58,https://cdn.sofifa.net/players/190/179/15_120.png
191684,/player/191684/san-jung/150001,15,1,2014-08-29,Jung San,정산 郑山,GK,58,62,140000.0,3000.0,25,1989-02-10,190,83,83.0,K League 1,1.0,981.0,Seongnam FC,RES,89.0,,2011-01-01,2015.0,167,Korea Republic,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,,,,,,,,,,25,25,25,35,25,25,25,25,31,32,48,40,42,44,52,25,43,30,59,25,35,20,25,25,24,,25,25,25,60,59,57,61,57,44.0,30,30,30,31,30,30,30,31,31,31,31,32,29,29,29,32,29,31,31,31,29,29,31,31,31,29,58,https://cdn.sofifa.net/players/191/684/15_120.png
191848,/player/191848/waleed-abdullah/150001,15,1,2014-08-29,W. Abdullah,Waleed Abdullah Ali,GK,58,58,140000.0,5000.0,28,1986-04-19,196,82,350.0,Pro League,1.0,111674.0,Al Shabab,GK,1.0,,2006-01-01,2017.0,183,Saudi Arabia,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,,,"Puncher, GK Long Throw",,,,,,,25,25,25,25,25,25,25,25,36,25,38,35,45,63,33,31,45,38,64,25,21,21,25,25,31,,25,25,25,56,58,67,56,61,36.0,32,32,32,30,30,30,30,30,30,30,30,31,30,30,30,31,30,32,32,32,30,29,31,31,31,29,58,https://cdn.sofifa.net/players/191/848/15_120.png
193013,/player/193013/james-shea/150001,15,1,2014-08-29,J. Shea,James Shea,GK,58,65,120000.0,2000.0,23,1991-06-16,180,76,61.0,League Two,4.0,112259.0,AFC Wimbledon,GK,20.0,,2014-07-03,2016.0,14,England,,,,Right,2,1,1,Medium/Medium,Normal (170-185),No,,,,,,,,,,25,25,25,25,25,25,25,25,34,23,30,25,35,54,48,33,42,25,41,25,25,25,25,25,41,,25,25,25,60,56,55,57,62,27.0,29,29,29,27,29,29,29,27,28,28,28,28,28,28,28,28,27,29,29,29,27,27,29,29,29,27,58,https://cdn.sofifa.net/players/193/013/15_120.png
193299,/player/193299/ivo-vazgec/150001,15,1,2014-08-29,I. Vazgeč,Ivo Vazgeč,GK,58,58,140000.0,3000.0,28,1986-02-06,190,88,56.0,Allsvenskan,1.0,111705.0,IF Brommapojkarna,SUB,30.0,,2013-05-01,2014.0,46,Sweden,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,,,,,,,,,,25,25,25,28,25,25,25,25,25,28,23,24,29,51,21,22,50,28,67,25,35,21,25,25,23,,25,25,25,59,50,67,59,64,24.0,29,29,29,27,28,28,28,27,28,28,28,28,28,28,28,28,28,31,31,31,28,28,32,32,32,28,58,https://cdn.sofifa.net/players/193/299/15_120.png
198039,/player/198039/mark-gillespie/150001,15,1,2014-08-29,M. Gillespie,Mark Gillespie,GK,58,64,100000.0,2000.0,22,1992-03-27,185,86,61.0,League Two,4.0,1480.0,Carlisle United,GK,1.0,,2010-01-01,2015.0,14,England,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,,,,,,,,,,25,25,25,25,25,25,25,25,25,21,34,35,37,55,53,35,70,39,60,25,22,24,25,25,25,,25,25,25,59,61,60,56,56,35.0,31,31,31,28,29,29,29,28,28,28,28,29,28,28,28,29,29,30,30,30,29,28,31,31,31,28,58,https://cdn.sofifa.net/players/198/039/15_120.png
198414,/player/198414/raphael-spiegel/150001,15,1,2014-08-29,R. Spiegel,Raphael Simon Spiegel,GK,58,67,100000.0,2000.0,21,1992-12-19,196,88,13.0,Premier League,1.0,19.0,West Ham United,RES,34.0,,2012-07-01,2015.0,47,Switzerland,,,,Right,2,1,1,Medium/Medium,Lean (185+),No,,,,,,,,,,25,25,25,31,25,25,25,25,33,31,56,59,59,59,55,38,71,45,64,25,35,22,25,25,40,,25,25,25,58,57,56,57,62,58.0,34,34,34,34,33,33,33,34,33,33,33,35,31,31,31,35,33,34,34,34,33,32,34,34,34,32,58,https://cdn.sofifa.net/players/198/414/15_120.png
199260,/player/199260/kyo-bin-kim/150001,15,1,2014-08-29,Kim Kyo Bin,김교빈 金教彬,GK,58,63,140000.0,3000.0,26,1987-12-29,193,87,83.0,K League 1,1.0,111588.0,Gyeongnam FC,RES,41.0,,2014-01-01,2015.0,167,Korea Republic,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,,,,,,,,,,25,25,25,38,25,25,25,25,25,24,33,25,54,42,42,42,55,33,69,25,35,25,25,25,32,,25,25,25,57,62,56,58,61,29.0,30,30,30,29,29,29,29,29,31,31,31,29,29,29,29,29,29,32,32,32,29,28,33,33,33,28,58,https://cdn.sofifa.net/players/199/260/15_120.png
